Station ID,Geogr1,Geogr2,Name,Year,Month,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
23024TEM,0.001579,5.632253,Tema,2016,01,15:00,75,50,40,47,61,22,23,53,72,74,75,73,74,79,79,76,76,75,76,78,74,74,74,68,37,49,43,40,44,43,59
23024TEM,0.001579,5.632253,Tema,2017,01,15:00,70,72,77,76,73,75,74,79,73,73,76,77,79,42,48,73,73,78,79,82,80,77,79,70,70,78,76,76,76,76,75
23024TEM,0.001579,5.632253,Tema,2018,01,15:00,47,55,49,48,69,72,76,75,79,76,75,66,79,71,77,78,79,79,78,77,76,74,77,73,80,76,78,71,77,78,75
23024TEM,0.001579,5.632253,Tema,2019,01,15:00,65,66,67,68,65,62,75,64,67,68,74,73,73,70,73,70,75,73,72,70,73,75,73,79,79,76,79,75,78,71,77
23024TEM,0.001579,5.632253,Tema,2020,01,15:00,36,38,35,35,43,50,61,67,68,69,72,70,73,73,71,67,73,67,72,75,75,76,73,70,60,63,65,76,69,72,67
23024TEM,0.001579,5.632253,Tema,2021,01,15:00,71,72,73,68,73,75,76,74,72,72,76,73,66,75,75,79,76,76,74,78,73,73,71,71,64,63,70,73,74,74,73
23024TEM,0.001579,5.632253,Tema,2022,01,15:00,70,71,71,66,67,69,71,76,67,71,69,70,79,73,73,75,70,76,42,44,46,50,64,73,45,43,70,74,67,46,46
23024TEM,0.001579,5.632253,Tema,2023,01,15:00,47,57,47,50,61,66,75,74,73,68,67,71,69,70,72,73,70,76,73,77,72,66,72,73,76,71,75,76,70,75,81
23024TEM,0.001579,5.632253,Tema,2024,01,15:00,71,71,70,68,71,73,72,72,76,69,75,71,72,71,73,73,74,67,71,77,76,77,83,74,73,48,47,37,66,60,67
23022SAL,-1.0667,5.2,Saltpond,2018,01,15:00,76,68,61,58,76,76,82,81,78,79,79,75,79,73,79,83,76,81,79,81,79,78,82,83,82,76,79,79,77,80,77
23022SAL,-1.0667,5.2,Saltpond,2019,01,15:00,74,70,76,77,64,68,68,71,71,74,81,79,76,73,77,76,80,78,78,77,80,75,80,79,78,79,78,79,80,85,77
23022SAL,-1.0667,5.2,Saltpond,2020,01,15:00,61,45,49,44,47,56,57,69,64,69,77,71,80,72,68,67,74,71,68,74,74,77,74,72,66,62,66,75,74,74,71
23022SAL,-1.0667,5.2,Saltpond,2021,01,15:00,76,77,75,76,76,75,70,78,74,76,77,75,60,74,77,77,74,78,75,76,74,74,72,69,73,73,72,75,71,74,72
23022SAL,-1.0667,5.2,Saltpond,2023,01,15:00,53,55,71,62,69,77,77,75,74,72,72,76,74,74,74,77,69,74,70,74,72,74,81,72,73,74,75,74,69,77,77
