Station ID,Geogr1,Geogr2,Name,Year,Month,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
01013WA-,-2.5,10.05,Wa,2022,01,09:00,15,15,14.5,22,12.2,12.5,12.8,20.5,13.5,12,12.1,15.1,12.5,14.5,14.4,23,12.5,11.5,10.5,10.5,10.2,18.5,10.4,11.5,12,20,20,23,13.5,20,20.5
01013WA-,-2.5,10.05,Wa,2023,01,09:00,17,17.5,17.5,18.5,18.8,21,22.5,21.5,20,20,20.3,20.2,20.5,18.9,18.8,19.9,19.9,20,19.5,19,18.4,17.2,20.5,23.6,23,21.8,21.5,20,18.2,18,21.6
01013WA-,-2.5,10.05,Wa,2024,01,09:00,17,17.3,19.5,18.9,16.5,18,19.2,19.1,19.1,17,20.5,21,19.5,20.5,16.5,19.2,17.9,17,17.6,17.5,17.2,18.5,17.2,16.6,19.9,17,16.5,17.2,16.9,19,19
01032SUN,-2.329861,7.359216,Sunyani,2015,01,09:00,17.6,19,17.5,19,16.6,16.5,16.3,17.1,18.6,19,16.7,17.2,16.6,16.5,17,18.5,19.1,18.5,21,21,22.8,22.5,22.5,22.8,21.8,23.5,23,22.1,21.8,23,24
01032SUN,-2.329861,7.359216,Sunyani,2016,01,09:00,19.6,20.1,18.6,20.3,20.2,20.8,20.6,20.6,20.5,19.6,21.8,23.1,22.9,22.7,22.6,21.9,22.6,22.9,23.6,22.7,22.1,20.6,20.9,20.1,19.7,20.6,20.8,21.1,20.3,20.6,21.1
01032SUN,-2.329861,7.359216,Sunyani,2017,01,09:00,20.1,19.6,20.5,20,19.5,18,19.5,22,22.6,22,21.8,23,22.2,20,20.1,19,21.4,22.5,24.2,23.8,24.5,25.5,24.5,20.7,20,18.2,20,21.7,23,23.3,23.5
01032SUN,-2.329861,7.359216,Sunyani,2018,01,09:00,18.9,19.6,20,19.3,19.4,19.4,21.5,22.7,22.2,21.2,19.2,17.3,17.4,17.4,17.2,21.5,23,22,20.4,21.2,21.5,19.7,17.9,19,20.8,18.2,19,20.8,21.5,19.8,22.4
01032SUN,-2.329861,7.359216,Sunyani,2019,01,09:00,20.1,19.9,19.7,19.9,19.2,22.3,19.9,20,20.5,23,23.6,23.5,23.5,24,23.8,23.8,25,22.5,21.9,22.5,20.7,22.3,20.5,22.7,24.5,24,22.9,21,23,24,24.6
01032SUN,-2.329861,7.359216,Sunyani,2020,01,09:00,18.5,17.5,16.3,16.1,17,18.3,19.1,20.8,21.9,22.7,21.9,23.4,23.5,23.6,20.3,19.5,20.4,21.5,20.4,21.4,24.5,24.5,22.7,21.7,20,20.1,19.1,20.5,20.5,20,20.6
01032SUN,-2.329861,7.359216,Sunyani,2021,01,09:00,22.4,22.8,24.4,21.2,21.5,22.4,23.2,21.3,23.1,22.8,24,21,23.1,22.6,22.5,21.5,22,22.5,23.6,22.3,21.7,19.5,20,19.6,18.7,21.7,22.9,23,23.5,21.8,24.2
