Station ID,Geogr1,Geogr2,Name,Year,Month,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Avg
04001MAN,-0.2667,11.0167,Manga Bawku,2014,1,15:00,17,22,12,16,16,20,17,22,15,20,20,16,16,18,17,17,36,58,34,23,18,15,20,15,16,17,20,20,20,19,23,20.6
04001MAN,-0.2667,11.0167,Manga Bawku,2014,1,15:00,17,22,12,16,16,20,17,22,15,20,20,16,16,18,17,17,36,58,34,23,18,15,20,15,16,17,20,20,20,19,23,20.6
04003NAV,-1.083188,10.878416,Navrongo,2014,1,6:00,40,36,36,37,43,27,36,38,36,35,39,37,37,38,48,52,43,66,83,59,37,41,49,36,32,32,32,25,36,38,61,41.5
04003NAV,-1.083188,10.878416,Navrongo,2014,1,15:00,21,22,23,28,15,18,21,21,21,24,24,22,22,21,20,20,31,56,41,23,16,17,16,14,11,16,16,16,16,22,24,21.9
04015ZUA,-0.8,10.7833,Zuarungu,2014,1,6:00,33,40,33,31,34,42,40,48,46,31,33,25,40,54,40,48,49,66,68,51,39,38,38,48,40,38,61,31,43,53,33,42.7
04015ZUA,-0.8,10.7833,Zuarungu,2014,1,15:00,12,12,9,12,14,13,17,16,18,16,12,11,11,12,12,12,31,56,41,23,12,12,12,10,12,15,13,13,13,33,21,17.13333333
04003BOL,-0.85,10.7833,Bolgatanga,2014,1,15:00,15,7,12,11,9,15,18,18,12,18,11,17,16,10,13,19,20,65,43,26,15,15,10,13,15,13,17,10,18,35,25,18.2
04001MAN,-0.2667,11.0167,Manga Bawku,2014,1,6:00,45,32,40,36,48,40,36,48,54,45,40,44,46,52,47,45,42,70,75,46,41,45,48,50,40,42,48,43,46,54,58,46.7
04001MAN,-0.2667,11.0167,Manga Bawku,2014,1,6:00,45,32,40,36,48,40,36,48,54,45,40,44,46,52,47,45,42,70,75,46,41,45,48,50,40,42,48,43,46,54,58,46.7
04026VEA,-0.85,10.8667,Vea,2014,1,6:00,31,33,25,30,44,31,45,52,36,36,43,34,44,61,43,57,49,83,75,61,31,52,57,62,61,61,61,36,43,61,39,48.2
04026VEA,-0.85,10.8667,Vea,2014,1,15:00,22,10,9,16,19,28,10,24,14,16,16,21,14,12,12,10,26,57,36,21,12,14,12,17,8,12,13,12,13,14,21,17.3
04027BOL,-0.8667,10.8,Bolgatanga,2014,1,6:00,25,17,18,24,40,38,36,38,29,27,27,26,27,42,33,34,38,91,64,57,28,33,25,27,17,22,36,22,31,80,33,35.33333333
04027BOL,-0.8667,10.8,Bolgatanga,2014,1,15:00,15,7,12,11,9,15,18,18,12,18,11,17,16,10,13,19,20,65,43,26,15,15,10,13,15,13,17,10,18,35,25,18.2
04031GAR,-0.1833,10.85,Garu,2014,1,15:00,18,37,35,13,15,22,21,19,22,18,20,17,12,14,15,16,36,70,30,27,22,15,14,17,7,20,17,15,15,20,20,21.36666667
04030BIN,-0.3,10.95,Binduri,2014,1,6:00,46,45,46,44,42,43,40,44,45,45,48,42,48,45,49,45,49,47,45,45,49,48,45,47,49,43,45,42,44,45,49,45.43333333
04030BIN,-0.3,10.95,Binduri,2014,1,15:00,7,5,5,9,12,14,12,12,12,12,16,14,12,14,16,14,15,17,17,17,14,10,12,12,14,16,12,12,9,10,14,12.66666667
04031GAR,-0.1833,10.85,Garu,2014,1,6:00,42,38,40,42,40,49,45,42,46,44,44,38,45,42,32,40,34,82,75,73,47,52,38,40,38,36,38,47,36,61,65,46.3
07000BOL,-2.4833,9.0333,Bole,2014,1,6:00,83,79,40,40,47,56,56,50,54,62,59,53,26,53,47,48,79,81,92,87,78,76,71,70,59,72,88,51,78,83,78,63.76666667
14045ASE,-0.1333,6.3833,Asesewa,2014,1,6:00,93,90,91,91,92,79,91,83,87,91,91,87,91,91,91,91,87,91,91,87,91,91,94,83,87,91,83,87,91,87,87,88.83333333
14045ASE,-0.1333,6.3833,Asesewa,2014,1,15:00,67,65,42,39,47,49,39,46,50,80,55,53,58,28,47,48,55,62,53,28,32,34,67,42,65,60,41,49,84,68,68,51.8
14067ABE,-0.74717,6.680267,Abetifi,2014,1,6:00,95,96,87,95,95,83,83,58,95,98,96,96,97,95,95,92,94,91,91,75,95,96,91,83,91,95,91,95,95,95,91,91
14067ABE,-0.74717,6.680267,Abetifi,2014,1,15:00,62,69,39,44,57,58,30,42,65,54,63,49,56,51,45,62,61,63,51,44,40,36,52,46,62,67,46,57,59,61,64,53.1
15076AKA,0.8,6.1167,Akatsi,2014,1,15:00,81,65,54,43,58,56,54,55,61,56,53,62,64,62,57,56,61,51,49,49,54,56,56,54,53,56,52,61,54,56,56,55.8
15076AKA,0.8,6.1167,Akatsi,2014,1,6:00,95,96,96,97,96,96,96,96,96,96,96,96,96,96,96,96,96,96,88,96,96,96,96,96,92,97,96,96,96,96,94,95.6
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2014,1,6:00,94,95,96,92,91,96,95,91,93,91,96,96,93,93,92,93,91,89,91,92,91,88,90,89,92,98,94,91,92,89,92,92.4
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2014,1,15:00,55,58,53,44,57,54,52,41,58,64,63,58,48,51,49,59,59,55,53,46,45,44,47,47,55,54,38,53,49,58,74,52.86666667
17009KSI,-1.591642,6.716932,Kumasi,2014,1,15:00,61,55,45,42,45,42,34,26,63,60,62,48,42,39,47,55,58,55,49,41,45,41,47,47,53,58,45,58,57,55,61,49.16666667
17009KSI,-1.591642,6.716932,Kumasi,2014,1,6:00,94,96,99,98,96,97,97,88,96,96,96,95,94,94,92,94,95,95,90,92,96,95,92,93,92,91,96,97,97,94,93,94.53333333
22050KDA,0.270833,6.086389,Koforidua,2014,1,6:00,91,92,94,91,88,92,91,92,92,92,91,89,90,91,89,91,92,93,91,91,87,89,92,93,90,91,93,91,92,92,92,91.13333333
22050KDA,-0.25,6.0833,Koforidua,2014,1,6:00,91,92,94,91,88,92,91,92,92,92,91,89,90,91,89,91,92,93,91,91,87,89,92,93,90,91,93,91,92,92,92,91.13333333
22050KDA,-0.25,6.0833,Koforidua,2014,1,6:00,91,92,94,91,88,92,91,92,92,92,91,89,90,91,89,91,92,93,91,91,87,89,92,93,90,91,93,91,92,92,92,91.13333333
22050KDA,0.270833,6.086389,Koforidua,2014,1,15:00,57,69,42,42,52,55,53,49,56,62,58,49,56,61,49,54,64,55,49,25,47,40,48,54,68,57,54,56,54,59,77,53.8
22050KDA,-0.25,6.0833,Koforidua,2014,1,15:00,57,69,42,42,52,55,53,49,56,62,58,49,56,61,49,54,64,55,49,25,47,40,48,54,68,57,54,56,54,59,77,53.8
22050KDA,-0.25,6.0833,Koforidua,2014,1,15:00,57,69,42,42,52,55,53,49,56,62,58,49,56,61,49,54,64,55,49,25,47,40,48,54,68,57,54,56,54,59,77,53.8
23001AXM,-2.2333,4.8667,Axim,2014,1,15:00,74,92,72,75,75,71,75,72,65,71,73,70,73,73,73,74,65,72,67,75,75,76,77,77,92,75,77,77,79,70,81,74.63333333
23001AXM,-2.2333,4.8667,Axim,2014,1,15:00,74,92,72,75,75,71,75,72,65,71,73,70,73,73,73,74,65,72,67,75,75,76,77,77,92,75,77,77,79,70,81,74.63333333
23001AXM,-2.2333,4.8667,Axim,2014,1,6:00,87,93,96,91,84,93,93,88,92,86,95,94,94,89,86,88,87,85,94,95,91,92,90,88,90,90,94,91,95,94,94,91.06666667
23001AXM,-2.2333,4.8667,Axim,2014,1,6:00,87,93,96,91,84,93,93,88,92,86,95,94,94,89,86,88,87,85,94,95,91,92,90,88,90,90,94,91,95,94,94,91.06666667
23003TDI,-1.774393,4.893534,Takoradi,2014,1,6:00,97,95,96,96,96,96,97,94,97,95,96,93,96,95,96,96,95,96,97,97,97,97,96,96,98,97,98,97,96,97,98,96.2
23003TDI,-1.774393,4.893534,Takoradi,2014,1,15:00,75,73,70,76,75,76,75,75,69,77,73,74,73,68,75,74,69,63,64,76,79,78,61,72,94,75,73,73,78,82,75,73.83333333
23016ACC,-0.168014,5.609834,KIAMO-Accra,2014,1,15:00,62,60,64,63,63,66,60,63,66,62,63,66,63,68,61,67,66,61,60,62,67,58,68,61,66,65,55,67,63,69,92,64.5
23016ACC,-0.168014,5.609834,KIAMO-Accra,2014,1,6:00,91,91,91,92,93,92,92,90,92,89,92,92,89,92,92,92,92,90,88,92,91,90,90,84,89,83,88,80,88,92,92,90
01000BAB,-2.816667,10.5167,Babile,2014,1,6:00,67,67,49,49,61,64,52,56,61,49,66,52,50,58,53,58,54,69,87,83,78,77,76,78,66,63,66,28,65,66,48,61.63333333
01000BAB,-2.816667,10.5167,Babile,2014,1,15:00,39,35,36,38,40,41,16,20,21,37,19,18,18,17,19,19,37,74,59,37,31,33,27,29,24,28,24,27,34,45,33,31.2
01013WA-,-2.5,10.05,Wa,2014,1,6:00,64,33,24,27,26,62,32,50,37,54,29,26,24,24,40,35,59,75,87,65,45,45,41,40,35,31,34,38,46,66,84,43.8
01013WA-,-2.5,10.05,Wa,2014,1,15:00,30,12,13,12,19,19,26,18,19,18,20,14,13,14,12,12,34,47,43,26,12,18,17,18,10,17,15,22,32,47,22,20.7
01032SUN,-2.329861,7.359216,Sunyani,2014,1,15:00,55,38,22,20,16,19,27,30,50,52,50,32,28,37,31,50,51,60,51,25,28,20,32,32,43,49,36,36,50,48,67,37.66666667
01018WEN,-2.1,7.75,Wenchi,2014,1,6:00,96,92,89,40,66,74,78,73,87,93,92,92,71,62,96,88,92,96,88,79,64,82,96,92,82,94,88,85,88,90,88,83.23333333
01018WEN,-2.1,7.75,Wenchi,2014,1,15:00,61,47,32,29,29,31,29,31,46,57,52,38,26,34,37,50,53,54,49,26,21,30,36,32,39,46,26,34,52,51,74,39.7
01032SUN,-2.329861,7.359216,Sunyani,2014,1,6:00,92,91,91,85,79,85,88,86,93,95,91,92,78,73,92,93,92,95,94,88,72,95,96,91,90,91,91,87,91,87,91,88.76666667
04003BOL,-0.85,10.7833,Bolgatanga,2014,1,6:00,25,17,18,24,40,38,36,38,29,27,27,26,27,42,33,34,38,91,64,57,28,33,25,27,17,22,36,22,31,80,33,35.33333333
01032SUN,-2.329861,7.359216,Sunyani,2015,1,6:00,49,74,54,51,61,62,58,61,75,49,47,32,43,43,62,63,68,72,88,95,92,95,91,90,97,93,91,96,85,87,87,72.06666667
01032SUN,-2.329861,7.359216,Sunyani,2015,1,15:00,25,19,22,31,24,22,25,28,33,18,20,18,15,16,17,18,22,20,30,36,48,51,34,35,39,41,20,14,20,33,37,26.86666667
04003BOL,-0.85,10.7833,Bolgatanga,2015,1,6:00,32,32,20,20,27,34,38,34,32,25,31,27,34,40,33,26,36,33,20,28,33,35,30,25,33,34,25,20,28,31,28,29.73333333
04003BOL,-0.85,10.7833,Bolgatanga,2015,1,15:00,9,7,5,13,7,11,9,11,9,9,9,9,7,9,19,9,14,9,10,13,12,15,10,7,10,8,9,7,15,20,15,10.56666667
04001MAN,-0.2667,11.0167,Manga Bawku,2015,1,15:00,13,21,41,20,24,13,15,17,21,16,20,23,19,27,17,15,19,19,12,12,23,13,17,12,17,13,9,10,14,14,17,17.66666667
04001MAN,-0.2667,11.0167,Manga Bawku,2015,1,15:00,13,21,41,20,24,13,15,17,21,16,20,23,19,27,17,15,19,19,12,12,23,13,17,12,17,13,9,10,14,14,17,17.66666667
04003NAV,-1.083188,10.878416,Navrongo,2015,1,6:00,38,29,30,35,40,33,26,30,28,21,24,23,31,29,30,30,30,35,34,41,31,38,33,38,40,35,38,20,22,23,37,31.13333333
04003NAV,-1.083188,10.878416,Navrongo,2015,1,15:00,18,24,26,28,17,14,16,24,19,17,17,17,17,18,18,20,17,21,16,14,22,22,22,24,24,26,13,12,14,15,16,19
04001MAN,-0.2667,11.0167,Manga Bawku,2015,1,6:00,34,34,36,30,43,41,41,41,40,30,30,36,34,41,41,42,45,38,45,43,38,42,29,29,50,40,38,34,30,32,32,37.5
04001MAN,-0.2667,11.0167,Manga Bawku,2015,1,6:00,34,34,36,30,43,41,41,41,40,30,30,36,34,41,41,42,45,38,45,43,38,42,29,29,50,40,38,34,30,32,32,37.5
04015ZUA,-0.8,10.7833,Zuarungu,2015,1,6:00,79,67,63,42,57,88,78,65,54,40,46,75,69,78,79,76,76,63,59,70,63,47,57,49,57,49,42,53,46,44,54,60.2
04015ZUA,-0.8,10.7833,Zuarungu,2015,1,15:00,13,20,17,13,20,17,16,13,20,16,26,27,17,19,19,19,14,18,10,12,19,20,17,18,18,15,14,14,12,14,15,16.96666667
04026VEA,-0.85,10.8667,Vea,2015,1,6:00,50,38,38,25,43,50,28,59,32,36,45,43,50,52,56,57,49,38,61,69,75,31,31,29,40,31,27,29,27,25,38,41.73333333
04026VEA,-0.85,10.8667,Vea,2015,1,15:00,15,5,19,5,9,11,11,15,15,14,16,14,5,9,11,19,21,17,9,10,12,10,10,4,9,12,10,9,10,10,10,11.36666667
04031GAR,-0.1833,10.85,Garu,2015,1,6:00,48,50,43,47,48,55,55,48,40,27,32,39,48,47,46,38,42,44,40,70,47,38,44,44,42,44,40,40,38,40,38,43.8
04031GAR,-0.1833,10.85,Garu,2015,1,15:00,22,27,25,26,26,27,30,36,20,20,20,18,20,23,24,17,19,19,22,36,45,19,33,22,21,37,22,20,32,32,23,25.36666667
07000BOL,-2.4833,9.0333,Bole,2015,1,6:00,45,28,34,33,38,28,28,41,27,42,37,32,33,49,51,40,46,37,40,49,53,75,85,50,69,54,36,30,36,44,44,42.96666667
07000BOL,-2.4833,9.0333,Bole,2015,1,15:00,17,21,24,25,22,19,17,16,20,20,21,16,19,15,14,16,19,15,14,15,31,52,13,16,15,15,14,10,10,12,24,18.66666667
07003AKU,0.11928,6.094506,Akuse,2015,1,6:00,85,86,87,90,92,82,89,86,86,78,81,82,84,85,83,86,92,95,93,92,93,95,92,92,95,95,95,93,92,95,95,89.36666667
07003AKU,0.11928,6.094506,Akuse,2015,1,15:00,28,30,30,31,24,47,30,33,32,25,24,39,23,24,32,35,33,54,42,63,50,50,46,48,55,53,49,38,56,61,66,40.76666667
07006TLE,-0.862408,9.55385,Tamale,2015,1,6:00,43,23,38,22,41,32,42,35,32,22,20,24,32,38,31,34,43,35,45,42,54,69,46,39,39,41,34,33,35,35,38,36.46666667
07006TLE,-0.862408,9.55385,Tamale,2015,1,15:00,10,13,15,13,14,10,15,16,17,15,19,16,14,15,16,17,16,12,17,15,33,23,10,11,14,10,7,8,13,11,19,14.8
07008KRA,-0.0333,7.8167,Kete-Krachi,2015,1,6:00,41,92,70,55,46,68,60,81,84,47,60,47,46,51,80,84,85,91,90,92,93,91,92,94,92,87,92,94,91,94,89,77.93333333
07000BOL,-2.4833,9.0333,Bole,2014,1,15:00,39,17,12,12,17,14,18,16,16,19,15,13,17,13,10,22,47,62,54,38,19,18,15,21,15,33,13,18,49,42,27,23.4
07003AKU,0.11928,6.094506,Akuse,2014,1,6:00,96,98,96,96,96,96,96,96,97,97,96,96,97,95,95,97,95,95,92,92,94,96,92,96,92,93,96,91,94,91,96,94.96666667
07003AKU,0.11928,6.094506,Akuse,2014,1,15:00,93,69,57,58,67,67,67,68,59,52,54,56,55,54,50,55,58,57,45,38,56,43,50,51,63,54,51,52,52,50,67,55.83333333
07006TLE,-0.862408,9.55385,Tamale,2014,1,6:00,71,36,43,31,45,48,42,47,30,32,31,28,31,43,44,33,52,75,72,67,50,48,36,40,34,38,38,40,61,64,76,45.16666667
07006TLE,-0.862408,9.55385,Tamale,2014,1,15:00,36,16,10,11,16,16,16,20,24,23,21,17,20,15,16,27,46,48,30,67,67,10,10,14,29,26,22,19,26,40,37,25.3
07017HO-,0.4667,6.6,Ho,2014,1,6:00,91,92,87,91,90,90,91,91,92,92,94,92,91,92,91,92,92,88,88,91,92,92,92,91,91,91,92,91,92,92,89,91.06666667
07017HO-,0.4667,6.6,Ho,2014,1,15:00,56,56,46,29,50,51,51,46,53,52,48,47,51,47,47,49,56,51,51,45,46,37,51,56,64,58,52,52,51,48,61,50.06666667
08010YDI,-0.0167,9.45,Yendi,2014,1,6:00,76,53,24,24,32,35,34,33,37,42,40,34,26,28,29,54,76,75,71,53,32,33,40,45,35,54,37,46,68,80,91,45.36666667
08010YDI,-0.0167,9.45,Yendi,2014,1,15:00,38,14,14,13,19,17,19,18,33,18,18,20,20,18,19,25,42,45,28,15,14,21,23,25,44,36,17,25,35,39,48,24.73333333
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2015,1,6:00,76,88,86,91,91,80,81,86,92,86,37,72,73,79,84,84,88,92,86,91,92,95,92,92,88,93,94,92,92,93,92,86.06666667
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2015,1,15:00,42,24,44,49,27,23,44,53,23,31,38,27,24,28,35,41,44,45,42,47,55,57,49,50,51,54,47,41,40,41,46,40.66666667
17009KSI,-1.591642,6.716932,Kumasi,2015,1,6:00,63,72,81,84,35,61,67,79,84,43,38,30,26,62,71,70,78,95,92,95,88,85,91,92,89,93,93,92,93,93,91,75.43333333
17009KSI,-1.591642,6.716932,Kumasi,2015,1,15:00,15,16,31,35,18,22,26,34,29,27,23,16,16,21,27,32,19,32,30,36,49,49,45,36,49,48,21,14,31,46,36,30.46666667
21088ODA,-0.978354,5.929346,Akim Oda,2015,1,6:00,91,91,92,94,96,92,95,91,91,94,91,91,90,94,90,91,92,96,95,93,95,96,91,92,91,95,96,94,92,93,92,92.86666667
21088ODA,-0.978354,5.929346,Akim Oda,2015,1,15:00,44,37,44,55,41,47,42,45,35,42,31,29,32,35,30,40,52,59,49,49,53,54,46,48,53,60,50,42,46,58,60,45.46666667
22050KDA,0.270833,6.086389,Koforidua,2015,1,6:00,88,88,89,91,90,86,87,84,82,85,73,81,85,82,82,86,91,93,92,92,92,92,91,91,90,89,92,91,92,91,93,88.1
22050KDA,-0.25,6.0833,Koforidua,2015,1,6:00,88,88,89,91,90,86,87,84,82,85,73,81,85,82,82,86,91,93,92,92,92,92,91,91,90,89,92,91,92,91,93,88.1
22050KDA,-0.25,6.0833,Koforidua,2015,1,6:00,88,88,89,91,90,86,87,84,82,85,73,81,85,82,82,86,91,93,92,92,92,92,91,91,90,89,92,91,92,91,93,88.1
22050KDA,0.270833,6.086389,Koforidua,2015,1,15:00,32,31,45,38,33,34,31,30,32,29,27,28,30,24,30,38,43,50,47,47,53,54,29,71,59,93,54,48,48,60,58,43.13333333
22050KDA,-0.25,6.0833,Koforidua,2015,1,15:00,32,31,45,38,33,34,31,30,32,29,27,28,30,24,30,38,43,50,47,47,53,54,29,71,59,93,54,48,48,60,58,43.13333333
22050KDA,-0.25,6.0833,Koforidua,2015,1,15:00,32,31,45,38,33,34,31,30,32,29,27,28,30,24,30,38,43,50,47,47,53,54,29,71,59,93,54,48,48,60,58,43.13333333
23002ADA,0.622043,5.777691,Ada,2015,1,15:00,43,61,64,67,31,59,64,66,69,72,66,74,74,40,60,75,75,78,78,80,75,77,76,81,73,80,75,77,75,75,78,69.83333333
23003TDI,-1.774393,4.893534,Takoradi,2015,1,6:00,88,91,96,95,96,86,96,95,93,91,74,76,81,89,91,92,96,96,97,95,93,94,94,88,93,96,96,95,95,94,96,92
23003TDI,-1.774393,4.893534,Takoradi,2015,1,15:00,53,65,70,66,71,59,65,50,69,64,38,39,41,63,57,75,69,73,75,73,71,75,69,75,63,75,75,72,73,78,71,65.96666667
23022SAL,-1.0667,5.2,Saltpond,2015,1,6:00,85,81,95,100,96,87,92,87,93,84,69,69,82,83,93,94,97,96,96,95,93,96,90,91,97,96,96,96,96,95,96,91.03333333
23022SAL,-1.0667,5.2,Saltpond,2015,1,15:00,48,57,90,75,70,62,57,72,61,46,44,44,43,71,60,73,76,75,74,74,74,74,75,73,76,81,75,75,77,75,80,68.63333333
04027BOL,-0.8667,10.8,Bolgatanga,2015,1,6:00,32,32,20,20,27,34,38,34,32,25,31,27,34,40,33,26,36,33,20,28,33,35,30,25,33,34,25,20,28,31,28,29.73333333
04027BOL,-0.8667,10.8,Bolgatanga,2015,1,15:00,9,7,5,13,7,11,9,11,9,9,9,9,7,9,19,9,14,9,10,13,12,15,10,7,10,8,9,7,15,20,15,10.56666667
04030BIN,-0.3,10.95,Binduri,2015,1,6:00,57,59,61,61,62,57,56,56,57,52,48,57,58,57,54,59,54,57,53,57,54,55,58,55,55,54,59,55,56,55,52,56.1
04030BIN,-0.3,10.95,Binduri,2015,1,15:00,23,28,35,25,28,23,23,21,26,21,21,30,29,27,29,28,26,36,26,28,32,26,30,31,31,29,31,35,31,31,31,28.26666667
23001AXM,-2.2333,4.8667,Axim,2015,1,6:00,89,79,96,96,97,91,96,95,94,95,75,75,76,86,97,91,93,87,86,87,89,94,85,87,87,87,96,84,85,87,86,88.63333333
23001AXM,-2.2333,4.8667,Axim,2015,1,6:00,89,79,96,96,97,91,96,95,94,95,75,75,76,86,97,91,93,87,86,87,89,94,85,87,87,87,96,84,85,87,86,88.63333333
23022SAL,-1.0667,5.2,Saltpond,2014,1,15:00,75,79,76,75,78,78,79,78,79,75,75,79,76,78,79,75,77,72,74,78,71,80,80,79,90,77,76,77,80,89,92,78.36666667
23022SAL,-1.0667,5.2,Saltpond,2014,1,6:00,96,97,96,97,97,96,97,96,97,95,96,96,96,92,96,96,96,97,96,97,98,98,98,96,98,95,97,100,97,97,98,96.6
23024TEM,0.001579,5.632253,Tema,2014,1,15:00,50,55,52,56,34,50,50,56,66,41,40,48,43,51,52,75,76,79,76,79,77,76,76,77,74,78,77,77,80,77,79,64.23333333
23024TEM,0.001579,5.632253,Tema,2014,1,6:00,67,64,88,87,72,58,69,62,78,69,40,62,63,61,59,84,94,92,92,94,94,95,91,92,91,89,83,91,93,93,92,79.73333333
01013WA-,-2.5,10.05,Wa,2015,1,6:00,40,31,23,20,31,29,28,32,35,33,24,32,30,30,30,33,25,30,29,33,36,32,30,27,43,31,31,28,26,31,40,30.43333333
01013WA-,-2.5,10.05,Wa,2015,1,15:00,23,14,16,15,15,20,16,22,25,13,18,15,16,17,17,18,19,15,15,10,27,33,13,17,14,15,16,17,19,20,20,17.56666667
01018WEN,-2.1,7.75,Wenchi,2015,1,6:00,43,44,35,41,38,44,40,55,58,38,39,39,35,35,47,51,73,50,84,80,88,87,88,86,92,92,88,97,87,91,87,63.63333333
01018WEN,-2.1,7.75,Wenchi,2015,1,15:00,28,25,28,34,27,24,26,27,31,25,27,21,22,24,25,24,23,19,27,37,52,44,23,22,42,43,17,20,24,32,36,28.36666667
01018WEN,-2.1,7.75,Wenchi,2016,1,6:00,49,39,39,40,47,34,32,39,28,79,85,92,93,88,84,62,82,80,88,70,73,51,24,26,30,33,30,31,33,32,32,53.2
01032SUN,-2.329861,7.359216,Sunyani,2016,1,6:00,61,47,56,38,56,28,24,26,37,81,88,91,93,90,90,93,85,81,89,86,78,82,39,32,38,42,41,25,26,24,43,58.3
01032SUN,-2.329861,7.359216,Sunyani,2016,1,15:00,18,24,20,14,16,11,8,8,16,31,38,53,64,38,33,25,29,39,33,41,34,14,7,7,19,10,20,10,13,17,13,23.5
01018WEN,-2.1,7.75,Wenchi,2016,1,15:00,23,25,21,21,24,15,16,13,18,30,44,49,54,25,31,30,28,40,34,44,23,17,9,12,19,18,22,25,19,24,22,25.73333333
04003BOL,-0.85,10.7833,Bolgatanga,2016,1,6:00,32,38,31,31,32,34,26,25,30,16,20,17,20,20,34,29,27,36,25,18,18,21,29,15,23,21,26,20,18,27,32,25.3
04003BOL,-0.85,10.7833,Bolgatanga,2016,1,15:00,11,9,11,19,13,13,13,9,5,10,7,5,9,12,14,14,12,27,17,7,7,4,7,11,11,11,11,9,7,9,9,10.73333333
04001MAN,-0.2667,11.0167,Manga Bawku,2016,1,15:00,17,21,22,24,26,20,12,16,15,13,13,16,18,18,18,18,15,17,17,14,15,12,13,15,20,21,19,20,21,19,17,17.5
04001MAN,-0.2667,11.0167,Manga Bawku,2016,1,15:00,17,21,22,24,26,20,12,16,15,13,13,16,18,18,18,18,15,17,17,14,15,12,13,15,20,21,19,20,21,19,17,17.5
04001MAN,-0.2667,11.0167,Manga Bawku,2016,1,6:00,45,52,38,36,50,45,38,40,32,42,40,34,34,46,40,40,40,53,40,42,32,43,40,18,36,42,34,32,38,40,38,39.16666667
04001MAN,-0.2667,11.0167,Manga Bawku,2016,1,6:00,45,52,38,36,50,45,38,40,32,42,40,34,34,46,40,40,40,53,40,42,32,43,40,18,36,42,34,32,38,40,38,39.16666667
04003NAV,-1.083188,10.878416,Navrongo,2016,1,15:00,16,17,21,22,25,22,15,11,13,16,15,12,13,15,12,14,16,17,14,15,13,9,11,16,16,15,13,15,16,16,16,15.36666667
04003NAV,-1.083188,10.878416,Navrongo,2016,1,6:00,31,35,35,37,37,32,28,25,31,35,27,33,25,31,30,31,34,31,25,32,19,25,29,17,26,20,27,27,23,23,31,28.7
04015ZUA,-0.8,10.7833,Zuarungu,2016,1,6:00,42,46,40,42,48,34,38,40,48,48,43,43,49,64,56,47,42,63,43,44,40,64,57,43,43,26,31,33,53,57,33,45.26666667
04015ZUA,-0.8,10.7833,Zuarungu,2016,1,15:00,11,9,11,19,13,11,15,10,19,19,12,17,10,16,10,10,10,12,18,23,18,12,13,28,15,15,15,13,20,19,13,14.83333333
04026VEA,-0.85,10.8667,Vea,2016,1,15:00,15,20,21,15,23,3,21,9,13,26,10,15,9,16,18,16,14,15,18,18,16,12,16,9,15,13,23,39,17,15,5,16
04026VEA,-0.85,10.8667,Vea,2016,1,6:00,49,43,32,32,56,48,45,38,34,42,46,42,36,42,42,40,40,44,36,34,42,26,34,11,31,20,25,18,18,24,36,35.23333333
04030BIN,-0.3,10.95,Binduri,2016,1,6:00,45,53,45,46,53,30,49,40,73,32,28,46,52,40,49,64,60,59,57,57,25,18,18,25,15,18,23,20,19,18,28,38.66666667
